duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,label,attack_type,bytes_ratio,total_bytes,error_ratio,service_similarity,bytes_per_second,login_risk,conn_density
2.86,1442.0,921.0,0,0,0,0,0,1,0.0,32,2.0,0.031,0.003,0.858,0.009,192,148,0,normal,0.6383,2363.0,0.017,0.849,825.935,0.0,0.1658
0.09,2373.0,1105.0,0,0,0,3,0,1,0.0,46,15.0,0.016,0.037,0.844,0.041,224,252,0,normal,0.4655,3478.0,0.0265,0.803,38219.7802,0.0,0.2044
2.83,1850.0,1591.0,0,0,0,3,0,1,0.0,1,31.0,0.016,0.031,0.829,0.096,175,148,0,normal,0.8595,3441.0,0.0235,0.733,1215.4716,0.0,0.0057
2.1,1441.0,1414.0,0,0,0,0,0,1,0.0,16,22.0,0.01,0.021,0.828,0.029,193,99,0,normal,0.9806,2855.0,0.0155,0.799,1358.8767,0.0,0.0825
0.09,2042.0,553.0,0,1,0,3,0,1,0.0,4,43.0,0.045,0.021,0.99,0.092,153,148,0,normal,0.2707,2595.0,0.033,0.898,28516.4835,0.0,0.026
2.77,2069.0,804.0,0,0,0,3,0,1,0.0,12,38.0,0.045,0.036,0.902,0.095,119,179,0,normal,0.3884,2873.0,0.0405,0.807,1036.8098,0.0,0.1
2.69,1089.0,858.0,0,0,0,2,0,1,0.0,14,35.0,0.034,0.036,0.881,0.036,152,237,0,normal,0.7872,1947.0,0.035,0.845,723.5229,0.0,0.0915
14.48,1264.0,1139.0,0,0,0,3,0,1,0.0,8,9.0,0.039,0.02,0.981,0.061,124,193,0,normal,0.9004,2403.0,0.0295,0.92,165.9416,0.0,0.064
1.56,2024.0,689.0,0,0,0,4,0,1,0.0,13,41.0,0.029,0.015,0.824,0.015,164,181,0,normal,0.3402,2713.0,0.022,0.809,1737.9885,0.0,0.0788
1.53,1551.0,672.0,0,0,0,2,0,1,0.0,15,35.0,0.026,0.024,0.946,0.077,127,178,0,normal,0.433,2223.0,0.025,0.869,1451.9922,0.0,0.1172
10.5,1459.0,1332.0,0,0,0,3,1,1,0.0,39,46.0,0.022,0.009,0.984,0.058,201,98,0,normal,0.9123,2791.0,0.0155,0.926,265.7842,2.0,0.1931
1.19,944.0,908.0,0,0,0,2,0,1,0.0,45,27.0,0.031,0.032,0.814,0.096,233,62,0,normal,0.9608,1852.0,0.0315,0.718,1554.9958,0.0,0.1923
10.0,1064.0,8369.0,0,0,0,6,0,1,7.0,8,6.0,0.082,0.003,0.626,0.174,21,1,1,r2l_exfiltration,7.8582,9433.0,0.0425,0.452,943.2057,7.0,0.3636
3.84,2385.0,906.0,0,0,0,4,0,1,0.0,5,43.0,0.025,0.05,0.803,0.085,189,103,0,normal,0.3797,3291.0,0.0375,0.718,856.8081,0.0,0.0263
0.27,5628.0,0.0,0,0,0,0,0,0,0.0,459,406.0,0.883,0.05,0.949,0.012,9,6,1,dos,0.0,5628.0,0.4665,0.937,20767.5277,0.0,45.9
0.62,1414.0,929.0,0,0,0,3,0,1,0.0,21,38.0,0.005,0.048,0.871,0.084,153,145,0,normal,0.6565,2343.0,0.0265,0.787,3772.9469,0.0,0.1364
0.73,847.0,251.0,0,0,0,2,9,0,3.0,62,3.0,0.107,0.891,0.605,0.152,22,18,1,brute_force,0.296,1098.0,0.499,0.453,1502.052,21.0,2.6957
0.23,1175.0,1530.0,0,0,0,4,0,1,0.0,18,23.0,0.033,0.004,0.993,0.051,184,73,0,normal,1.301,2705.0,0.0185,0.942,11709.9567,0.0,0.0973
9.16,947.0,432.0,0,0,0,1,0,1,0.0,13,35.0,0.007,0.036,0.919,0.009,175,187,0,normal,0.4557,1379.0,0.0215,0.91,150.5294,0.0,0.0739
7.49,872.0,1871.0,0,0,0,3,0,1,0.0,39,36.0,0.006,0.05,0.942,0.031,135,76,0,normal,2.1432,2743.0,0.028,0.911,366.1727,0.0,0.2868
46.39,1125.0,6285.0,0,0,0,16,0,1,3.0,14,13.0,0.081,0.089,0.626,0.154,22,5,1,r2l_exfiltration,5.5817,7410.0,0.085,0.472,159.7293,3.0,0.6087
45.61,1429.0,9525.0,0,0,0,11,0,1,12.0,10,4.0,0.065,0.001,0.693,0.132,13,5,1,r2l_exfiltration,6.6608,10954.0,0.033,0.561,240.1614,12.0,0.7143
8.09,1563.0,1298.0,0,0,0,3,0,1,0.0,20,27.0,0.028,0.025,0.824,0.098,200,150,0,normal,0.8299,2861.0,0.0265,0.726,353.6028,0.0,0.0995
13.04,2629.0,639.0,0,0,0,1,1,1,0.0,29,15.0,0.04,0.04,0.894,0.003,233,245,0,normal,0.243,3268.0,0.04,0.891,250.5943,2.0,0.1239
1.99,903.0,1062.0,0,0,0,4,0,1,0.0,26,14.0,0.007,0.019,0.946,0.002,210,53,0,normal,1.1748,1965.0,0.013,0.944,986.9412,0.0,0.1232
0.06,207.0,67.0,0,0,0,2,0,0,0.0,260,2.0,0.12,0.9580200000000004,0.037,0.943,65,8,1,probe,0.3221,274.0,0.539,-0.906,4491.8033,0.0,3.9394
30.59,1117.0,9658.0,0,0,0,14,1,1,2.0,4,2.0,0.043,0.095,0.913,0.071,27,10,1,r2l_exfiltration,8.6386,10775.0,0.069,0.842,352.2278,4.0,0.1429
2.52,1204.0,816.0,0,0,0,1,0,1,0.0,34,13.0,0.002,0.002,0.866,0.065,228,122,0,normal,0.6772,2020.0,0.002,0.801,801.2693,0.0,0.1485
5.42,1696.0,1157.0,0,0,0,0,0,1,0.0,9,30.0,0.001,0.019,0.922,0.037,109,52,0,normal,0.6818,2853.0,0.01,0.885,526.2867,0.0,0.0818
1.51,6910.0,0.0,1,0,0,1,0,0,0.0,379,439.0100000000002,0.879,0.034,0.914,0.019,7,2,1,dos,0.0,6910.0,0.4565,0.895,4573.1304,0.0,47.375
0.24,1857.0,1942.0,0,0,0,0,0,1,0.0,2,26.0,0.046,0.034,0.806,0.005,231,199,0,normal,1.0452,3799.0,0.04,0.801,15763.4855,0.0,0.0086
3.91,1778.0,2291.0,0,0,0,0,0,1,0.0,37,7.0,0.016,0.022,0.947,0.05,193,77,0,normal,1.2878,4069.0,0.019,0.897,1040.3989,0.0,0.1907
4.34,668.0,1314.0,0,0,0,0,0,1,0.0,28,14.0,0.015,0.008,0.906,0.083,204,235,0,normal,1.9641,1982.0,0.0115,0.823,456.5768,0.0,0.1366
3.61,1594.0,1644.0,0,0,0,0,0,1,0.0,21,7.0,0.046,0.013,0.868,0.099,212,245,0,normal,1.0307,3238.0,0.0295,0.769,896.7045,0.0,0.0986
6.6,1841.0,1847.0,0,0,0,2,0,1,0.0,47,6.0,0.001,0.037,0.823,0.001,100,123,0,normal,1.0027,3688.0,0.019,0.822,558.7032,0.0,0.4653
1.51,560.0,254.0,0,0,0,2,16,0,4.0,59,6.0,0.036,0.56,0.545,0.002,22,10,1,brute_force,0.4528,814.0,0.298,0.543,538.7161,36.0,2.5652
0.11,1457.0,1921.0,0,0,0,3,0,1,0.0,6,16.0,0.024,0.036,0.961,0.057,233,193,0,normal,1.3176,3378.0,0.03,0.904,30432.4324,0.0,0.0256
5.36,1570.0,1200.0,0,0,0,0,0,1,0.0,3,2.0,0.044,0.006,0.898,0.098,109,65,0,normal,0.7638,2770.0,0.025,0.8,516.6946,0.0,0.0273
0.58,684.0,337.0,0,0,0,5,16,0,0.0,66,2.0,0.087,0.889,0.819,0.184,22,1,1,brute_force,0.492,1021.0,0.488,0.635,1757.315,32.0,2.8696
0.04,899.0,334.0,0,0,0,5,16,0,1.0,55,2.0,0.073,0.703,0.717,0.195,19,2,1,brute_force,0.3711,1233.0,0.388,0.522,30073.1707,33.0,2.75
16.97,1515.0,1374.0,0,0,0,1,1,1,0.0,11,2.0,0.018,0.019,0.93,0.091,166,106,0,normal,0.9063,2889.0,0.0185,0.839,170.2316,2.0,0.0659
7.75,1414.0,1619.0,0,0,0,3,0,1,0.0,45,4.0,0.017,0.017,0.892,0.078,173,231,0,normal,1.1442,3033.0,0.017,0.814,391.3043,0.0,0.2586
1.55,1110.0,947.0,0,0,0,4,0,1,0.0,29,42.0,0.012,0.006,0.832,0.064,112,215,0,normal,0.8524,2057.0,0.009,0.768,1326.2411,0.0,0.2566
0.84,1247.0,1606.0,0,0,0,1,0,1,0.0,17,2.0,0.02,0.035,0.885,0.065,237,52,0,normal,1.2869,2853.0,0.0275,0.82,3392.39,0.0,0.0714
13.14,1385.0,1801.0,0,0,0,4,0,1,0.0,48,27.0,0.046,0.046,0.97,0.026,249,128,0,normal,1.2994,3186.0,0.046,0.944,242.4473,0.0,0.192
0.21,1499.0,1612.0,0,0,0,1,0,1,0.0,5,8.0,0.036,0.032,0.808,0.044,149,50,0,normal,1.0747,3111.0,0.034,0.764,14744.0758,0.0,0.0333
2.4,1869.0,1380.0,0,0,0,1,0,1,0.0,34,18.0,0.006,0.007,0.929,0.005,189,206,0,normal,0.738,3249.0,0.0065,0.924,1353.1862,0.0,0.1789
2.6,1554.0,1038.0,0,0,0,1,0,1,0.0,3,38.0,0.005,0.027,0.825,0.056,198,56,0,normal,0.6675,2592.0,0.016,0.769,996.5398,0.0,0.0151
7.78,2500.0,1036.0,0,0,0,1,0,1,0.0,29,10.0,0.006,0.012,0.838,0.068,164,94,0,normal,0.4142,3536.0,0.009,0.77,454.4403,0.0,0.1758
0.03,234.0,106.0,0,0,0,2,0,0,0.0,408,13.0,0.285,0.9580200000000004,0.104,0.9540100000000001,60,4,1,probe,0.4511,340.0,0.6215,-0.85,10967.7419,0.0,6.6885
0.04,194.0,85.0,0,0,0,2,0,0,0.0,240,5.0,0.147,0.942,0.035,0.703,45,4,1,probe,0.4359,279.0,0.5445,-0.668,6804.878,0.0,5.2174
2.34,2319.0,1394.0,0,0,0,1,0,1,0.0,28,44.0,0.002,0.023,0.892,0.003,182,163,0,normal,0.6009,3713.0,0.0125,0.889,1586.0743,0.0,0.153
2.28,1708.0,1074.0,0,0,0,3,0,1,0.0,15,39.0,0.042,0.011,0.891,0.01,134,182,0,normal,0.6284,2782.0,0.0265,0.881,1219.6405,0.0,0.1111
0.91,497.0,1317.0,0,0,0,1,0,1,0.0,43,8.0,0.006,0.023,0.931,0.052,100,182,0,normal,2.6446,1814.0,0.0145,0.879,1991.2184,0.0,0.4257
11.0,1473.0,1636.0,0,0,0,0,0,1,0.0,42,17.0,0.001,0.041,0.811,0.031,193,80,0,normal,1.1099,3109.0,0.021,0.78,282.6107,0.0,0.2165
1.82,1472.0,1315.0,0,0,0,0,0,1,0.0,40,21.0,0.037,0.005,0.855,0.077,239,145,0,normal,0.8927,2787.0,0.021,0.778,1530.4778,0.0,0.1667
7.41,1245.0,752.0,0,0,0,1,0,1,0.0,28,35.0,0.035,0.005,0.828,0.035,175,130,0,normal,0.6035,1997.0,0.02,0.793,269.4643,0.0,0.1591
1.5,702.0,506.0,0,0,0,1,13,0,1.0,77,8.0,0.056,0.736,0.678,0.294,14,13,1,brute_force,0.7198,1208.0,0.396,0.384,804.7968,27.0,5.1333
2.29,1418.0,1071.0,0,0,0,1,0,1,0.0,18,2.0,0.027,0.028,0.976,0.097,169,160,0,normal,0.7548,2489.0,0.0275,0.879,1086.4251,0.0,0.1059
1.86,832.0,901.0,0,0,0,4,0,1,0.0,29,31.0,0.034,0.027,0.998,0.069,220,81,0,normal,1.0816,1733.0,0.0305,0.929,931.2198,0.0,0.1312
2.5,1274.0,1309.0,0,0,0,2,0,1,0.0,43,39.0,0.048,0.008,0.898,0.015,196,144,0,normal,1.0267,2583.0,0.028,0.883,1032.7869,0.0,0.2183
7.35,328.0,830.0,0,0,0,3,0,1,0.0,33,26.0,0.002,0.021,0.855,0.08,116,206,0,normal,2.5228,1158.0,0.0115,0.775,157.5296,0.0,0.2821
3.9,1533.0,933.0,0,0,0,3,0,1,0.0,38,20.0,0.001,0.009,0.956,0.025,102,252,0,normal,0.6082,2466.0,0.005,0.931,632.1456,0.0,0.3689
1.04,1531.0,934.0,0,0,0,3,0,1,0.0,1,16.0,0.006,0.016,0.988,0.039,229,123,0,normal,0.6097,2465.0,0.011,0.949,2367.9155,0.0,0.0043
4.53,1898.0,1453.0,0,0,0,2,0,1,0.0,45,2.0,0.001,0.009,0.87,0.007,143,212,0,normal,0.7651,3351.0,0.005,0.863,739.5718,0.0,0.3125
11.92,2321.0,1349.0,0,0,0,1,0,1,0.0,41,29.0,0.035,0.035,0.98,0.072,101,103,0,normal,0.581,3670.0,0.035,0.908,307.8601,0.0,0.402
15.79,902.0,1547.0,0,0,0,0,0,1,0.0,17,40.0,0.002,0.003,0.817,0.048,222,145,0,normal,1.7132,2449.0,0.0025,0.769,155.0883,0.0,0.0762
1.88,656.0,1173.0,0,0,0,2,0,1,0.0,17,6.0,0.034,0.029,0.952,0.01,221,62,0,normal,1.7854,1829.0,0.0315,0.942,972.3551,0.0,0.0766
0.34,1617.0,1337.0,0,0,0,3,0,1,0.0,40,47.0,0.021,0.042,0.992,0.049,105,120,0,normal,0.8263,2954.0,0.0315,0.943,8662.7566,0.0,0.3774
1.71,1481.0,805.0,0,0,0,3,0,1,0.0,7,40.0,0.022,0.027,0.925,0.001,121,209,0,normal,0.5432,2286.0,0.0245,0.924,1336.0608,0.0,0.0574
0.11,8864.0,0.0,1,1,0,1,0,0,0.0,368,230.0,0.964,0.042,0.977,0.044,2,4,1,dos,0.0,8864.0,0.503,0.933,79855.8559,0.0,122.6667
5.54,1507.0,1429.0,0,0,0,2,0,1,0.0,5,23.0,0.033,0.031,0.818,0.051,138,228,0,normal,0.9476,2936.0,0.032,0.767,529.8683,0.0,0.036
0.29,808.0,1457.0,0,0,0,4,0,1,0.0,46,19.0,0.009,0.007,0.879,0.082,158,184,0,normal,1.801,2265.0,0.008,0.797,7783.5052,0.0,0.2893
0.29,1380.0,1343.0,0,0,0,0,0,1,0.0,24,1.0,0.006,0.022,0.908,0.075,211,204,0,normal,0.9725,2723.0,0.014,0.833,9357.3883,0.0,0.1132
6.81,1589.0,1609.0,0,0,0,0,0,1,0.0,18,20.0,0.041,0.041,0.861,0.045,234,122,0,normal,1.0119,3198.0,0.041,0.816,469.5346,0.0,0.0766
0.68,1539.0,1060.0,0,0,0,4,0,1,0.0,46,39.0,0.001,0.015,0.837,0.017,203,75,0,normal,0.6883,2599.0,0.008,0.82,3816.4464,0.0,0.2255
44.9,713.0,9905.0,0,0,0,24,0,1,2.0,26,10.0,0.047,0.078,0.506,0.058,11,17,1,r2l_exfiltration,13.8725,10618.0,0.0625,0.448,236.4758,2.0,2.1667
0.35,2041.0,942.0,0,0,0,4,0,1,0.0,8,48.0,0.044,0.012,0.849,0.041,200,232,0,normal,0.4613,2983.0,0.028,0.808,8498.5755,0.0,0.0398
0.33,8318.0,0.0,1,1,0,1,0,0,0.0,267,238.0,0.82,0.036,0.955,0.046,2,4,1,dos,0.0,8318.0,0.428,0.909,25129.9094,0.0,89.0
1.27,1166.0,1585.0,0,0,0,0,0,1,0.0,45,33.0,0.007,0.05,0.992,0.016,111,196,0,normal,1.3582,2751.0,0.0285,0.976,2164.4375,0.0,0.4018
7.17,1666.0,1738.0,0,0,0,0,0,1,0.0,25,4.0,0.039,0.023,0.974,0.023,100,105,0,normal,1.0426,3404.0,0.031,0.951,474.6897,0.0,0.2475
1.12,1618.0,981.0,0,0,0,4,0,1,0.0,24,25.0,0.033,0.03,0.822,0.055,239,118,0,normal,0.6059,2599.0,0.0315,0.767,2318.4657,0.0,0.1
0.4,1645.0,1083.0,0,0,0,1,0,1,0.0,37,5.0,0.016,0.044,0.851,0.046,158,90,0,normal,0.658,2728.0,0.03,0.805,6802.9925,0.0,0.2327
4.23,730.0,432.0,0,0,0,8,4,0,1.0,86,9.0,0.089,0.9580200000000004,0.754,0.016,28,5,1,brute_force,0.591,1162.0,0.5235,0.738,274.6396,9.0,2.9655
1.54,1593.0,1059.0,0,0,0,1,0,1,0.0,25,10.0,0.012,0.049,0.938,0.095,113,85,0,normal,0.6644,2652.0,0.0305,0.843,1720.9604,0.0,0.2193
3.47,1806.0,1263.0,0,0,0,3,0,1,0.0,49,22.0,0.025,0.021,0.942,0.002,184,58,0,normal,0.6989,3069.0,0.023,0.94,884.1832,0.0,0.2649
5.74,2243.0,1415.0,0,0,0,3,0,1,0.0,27,27.0,0.032,0.018,0.988,0.097,180,125,0,normal,0.6306,3658.0,0.025,0.891,637.1712,0.0,0.1492
0.62,998.0,1297.0,0,0,0,1,0,1,0.0,14,27.0,0.027,0.041,0.908,0.083,132,184,0,normal,1.2983,2295.0,0.034,0.825,3695.6522,0.0,0.1053
10.78,1737.0,1041.0,0,0,0,2,0,1,0.0,31,16.0,0.03,0.006,0.847,0.069,181,88,0,normal,0.599,2778.0,0.018,0.778,257.6755,0.0,0.1703
8.5,1819.0,1317.0,0,0,0,1,0,1,0.0,17,24.0,0.021,0.032,0.997,0.024,207,211,0,normal,0.7236,3136.0,0.0265,0.973,368.8978,0.0,0.0817
0.06,1864.0,1512.0,0,0,0,2,0,1,0.0,20,42.0,0.025,0.014,0.955,0.089,248,120,0,normal,0.8107,3376.0,0.0195,0.866,55344.2623,0.0,0.0803
0.05,171.0,96.0,0,0,0,1,0,0,0.0,311,2.0,0.253,0.697,0.035,0.9540100000000001,93,21,1,probe,0.5581,267.0,0.475,-0.919,5235.2941,0.0,3.3085
2.35,1518.0,943.0,0,0,0,1,0,1,0.0,21,18.0,0.017,0.017,0.994,0.047,127,252,0,normal,0.6208,2461.0,0.017,0.947,1046.7886,0.0,0.1641
16.57,1772.0,1068.0,0,0,0,4,0,1,0.0,47,9.0,0.006,0.017,0.858,0.084,132,88,0,normal,0.6024,2840.0,0.0115,0.774,171.3837,0.0,0.3534
9.01,1345.0,1017.0,0,0,0,0,0,1,0.0,25,26.0,0.005,0.022,0.938,0.09,126,112,0,normal,0.7556,2362.0,0.0135,0.848,262.1241,0.0,0.1969
5.25,1316.0,1005.0,0,0,0,3,0,1,0.0,47,12.0,0.001,0.034,0.932,0.09,110,157,0,normal,0.7631,2321.0,0.0175,0.842,442.011,0.0,0.4234
0.93,443.0,396.0,0,0,0,6,12,0,3.0,68,6.0,0.124,0.885,0.638,0.257,31,13,1,brute_force,0.8919,839.0,0.5045,0.381,901.1815,27.0,2.125
0.37,1177.0,1387.0,0,0,0,3,0,1,0.0,27,13.0,0.049,0.006,0.978,0.004,213,245,0,normal,1.1774,2564.0,0.0275,0.974,6911.0512,0.0,0.1262
9.29,1816.0,375.0,0,0,0,4,0,1,0.0,29,35.0,0.019,0.046,0.8,0.057,195,146,0,normal,0.2064,2191.0,0.0325,0.743,235.8196,0.0,0.148
14.3,1697.0,2382.0,0,1,0,4,0,1,0.0,46,2.0,0.039,0.035,0.914,0.072,113,192,0,normal,1.4028,4079.0,0.037,0.842,285.2248,0.0,0.4035
1.02,8578.0,0.0,0,0,0,1,0,0,0.0,465,229.0,0.874,0.096,0.951,0.041,2,4,1,dos,0.0,8578.0,0.485,0.91,8401.5671,0.0,155.0
6.88,1277.0,679.0,0,0,0,3,0,1,0.0,19,36.0,0.049,0.001,0.899,0.033,247,247,0,normal,0.5313,1956.0,0.025,0.866,284.261,0.0,0.0766
1.85,1680.0,1047.0,0,0,0,1,0,1,0.0,23,11.0,0.043,0.004,0.99,0.034,243,72,0,normal,0.6228,2727.0,0.0235,0.956,1473.2577,0.0,0.0943
4.23,1563.0,883.0,0,0,0,1,0,1,0.0,22,2.0,0.032,0.007,0.886,0.052,140,72,0,normal,0.5646,2446.0,0.0195,0.834,578.1139,0.0,0.156
2.7,1763.0,1237.0,0,1,0,2,0,1,0.0,31,46.0,0.022,0.048,0.939,0.001,202,210,0,normal,0.7012,3000.0,0.035,0.938,1110.6997,0.0,0.1527
1.69,1313.0,1047.0,0,0,0,3,0,1,0.0,39,22.0,0.05,0.029,0.856,0.072,250,211,0,normal,0.7968,2360.0,0.0395,0.784,1395.6239,0.0,0.1554
14.11,2408.0,1333.0,0,0,0,0,0,1,0.0,28,26.0,0.03,0.012,0.868,0.015,170,241,0,normal,0.5533,3741.0,0.021,0.853,265.1123,0.0,0.1637
12.23,1443.0,1490.0,0,0,0,4,0,1,0.0,19,35.0,0.023,0.021,0.845,0.057,109,237,0,normal,1.0319,2933.0,0.022,0.788,239.8005,0.0,0.1727
17.77,1478.0,1553.0,0,0,0,4,0,1,0.0,41,49.0,0.001,0.011,0.821,0.023,250,181,0,normal,1.05,3031.0,0.006,0.798,170.5588,0.0,0.1633
2.57,1723.0,1283.0,0,0,0,1,0,1,0.0,38,12.0,0.034,0.008,0.841,0.057,211,74,0,normal,0.7442,3006.0,0.021,0.784,1169.1949,0.0,0.1792
49.57,469.0,11488.120000000003,0,0,0,7,0,1,9.0,16,6.0,0.06,0.067,0.64,0.015,8,5,1,r2l_exfiltration,24.4428,11957.120000000003,0.0635,0.625,241.212,9.0,1.7778
7.57,648.0,1119.0,0,0,0,3,0,1,0.0,30,9.0,0.024,0.042,0.966,0.073,157,193,0,normal,1.7242,1767.0,0.033,0.893,233.3906,0.0,0.1899
1.47,1636.0,1489.0,0,0,0,2,0,1,0.0,12,10.0,0.001,0.016,0.819,0.035,129,63,0,normal,0.9096,3125.0,0.0085,0.784,2124.4052,0.0,0.0923
1.02,264.0,281.0,0,0,0,2,7,0,3.0,99,5.0,0.169,0.827,0.51,0.289,36,9,1,brute_force,1.0604,545.0,0.498,0.221,533.7904,17.0,2.6757
6.08,1743.0,1060.0,0,0,0,0,0,1,0.0,32,43.0,0.005,0.04,0.913,0.029,175,120,0,normal,0.6078,2803.0,0.0225,0.884,460.9439,0.0,0.1818
60.74,1326.0,11488.120000000003,0,0,0,24,0,1,6.0,16,10.0,0.095,0.009,0.793,0.162,7,18,1,r2l_exfiltration,8.6572,12814.120000000003,0.052,0.631,210.9633,6.0,2.0
2.21,1749.0,884.0,0,0,0,1,0,1,0.0,39,1.0,0.001,0.018,0.989,0.064,225,191,0,normal,0.5051,2633.0,0.0095,0.925,1190.8639,0.0,0.1726
4.97,1472.0,1145.0,0,0,0,2,0,1,0.0,10,42.0,0.013,0.04,0.996,0.041,225,163,0,normal,0.7773,2617.0,0.0265,0.955,526.4534,0.0,0.0442
0.03,228.0,134.0,0,0,0,0,0,0,0.0,339,5.0,0.227,0.63,0.191,0.822,26,14,1,probe,0.5852,362.0,0.4285,-0.631,11677.4194,0.0,12.5556
0.05,1555.0,1340.0,0,0,0,1,0,1,0.0,45,5.0,0.027,0.009,0.992,0.015,237,111,0,normal,0.8612,2895.0,0.018,0.977,56764.7059,0.0,0.1891
3.65,1837.0,1904.0,0,0,0,1,0,1,0.0,49,7.0,0.04,0.006,0.862,0.089,249,167,0,normal,1.0359,3741.0,0.023,0.773,1024.6508,0.0,0.196
10.23,1148.0,1684.0,0,0,0,3,0,1,0.0,6,43.0,0.009,0.007,0.815,0.057,240,252,0,normal,1.4656,2832.0,0.008,0.758,276.8058,0.0,0.0249
4.44,1509.0,843.0,0,0,0,3,0,1,0.0,33,30.0,0.038,0.005,0.961,0.041,177,164,0,normal,0.5583,2352.0,0.0215,0.92,529.6104,0.0,0.1854
0.29,6004.0,0.0,1,0,0,1,0,0,0.0,381,439.0100000000002,0.964,0.037,0.983,0.03,3,3,1,dos,0.0,6004.0,0.5005,0.953,20632.3024,0.0,95.25
0.08,150.99,107.0,0,0,0,2,0,0,0.0,471,11.0,0.251,0.448,0.035,0.9540100000000001,195,12,1,probe,0.704,257.99,0.3495,-0.919,3185.0617,0.0,2.4031
3.35,1684.0,668.0,0,0,0,0,0,1,0.0,3,26.0,0.006,0.001,0.914,0.051,213,85,0,normal,0.3964,2352.0,0.0035,0.863,701.88,0.0,0.014
1.7,1883.0,1346.0,0,0,0,0,0,1,0.0,29,5.0,0.035,0.021,0.97,0.025,247,183,0,normal,0.7144,3229.0,0.028,0.945,1898.2951,0.0,0.1169
0.74,1440.0,591.0,0,0,0,3,0,1,0.0,24,8.0,0.008,0.033,0.808,0.097,228,93,0,normal,0.4101,2031.0,0.0205,0.711,2740.8907,0.0,0.1048
13.53,1560.0,1312.0,0,0,0,0,0,1,0.0,27,14.0,0.048,0.025,0.949,0.078,213,239,0,normal,0.8405,2872.0,0.0365,0.871,212.2533,0.0,0.1262
2.25,719.0,1333.0,0,0,0,3,0,1,0.0,23,12.0,0.013,0.035,0.81,0.029,193,77,0,normal,1.8514,2052.0,0.024,0.781,911.5948,0.0,0.1186
54.01,948.0,11488.120000000003,0,0,0,23,0,1,1.0,18,5.0,0.067,0.094,0.753,0.05,28,18,1,r2l_exfiltration,12.1055,12436.120000000003,0.0805,0.703,230.2516,1.0,0.6207
9.31,1489.0,963.0,0,0,0,3,0,1,0.0,18,31.0,0.019,0.022,0.863,0.043,223,239,0,normal,0.6463,2452.0,0.0205,0.82,263.3444,0.0,0.0804
0.07,244.0,114.0,0,0,0,1,0,0,0.0,436,7.0,0.088,0.559,0.137,0.873,122,15,1,probe,0.4653,358.0,0.3235,-0.736,5042.2535,0.0,3.5447
