duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,label,attack_type
3.91,1778,2291,0,0,0,0,0,1,0,37,7,0.016,0.022,0.947,0.05,193,77,0,normal
4.34,668,1314,0,0,0,0,0,1,0,28,14,0.015,0.008,0.906,0.083,204,235,0,normal
3.61,1594,1644,0,0,0,0,0,1,0,21,7,0.046,0.013,0.868,0.099,212,245,0,normal
6.6,1841,1847,0,0,0,2,0,1,0,47,6,0.001,0.037,0.823,0.001,100,123,0,normal
1.51,560,254,0,0,0,2,17,0,4,59,6,0.036,0.56,0.545,0.002,22,10,1,brute_force
0.11,1457,1921,0,0,0,3,0,1,0,6,16,0.024,0.036,0.961,0.057,233,193,0,normal
5.36,1570,1200,0,0,0,0,0,1,0,3,2,0.044,0.006,0.898,0.098,109,65,0,normal
0.58,684,337,0,0,0,5,18,0,0,66,2,0.087,0.889,0.819,0.184,22,1,1,brute_force
0.04,899,334,0,0,0,5,16,0,1,55,2,0.073,0.703,0.717,0.195,19,2,1,brute_force
16.97,1515,1374,0,0,0,1,1,1,0,11,2,0.018,0.019,0.93,0.091,166,106,0,normal
7.75,1414,1619,0,0,0,3,0,1,0,45,4,0.017,0.017,0.892,0.078,173,231,0,normal
1.55,1110,947,0,0,0,4,0,1,0,29,42,0.012,0.006,0.832,0.064,112,215,0,normal
0.84,1247,1606,0,0,0,1,0,1,0,17,2,0.02,0.035,0.885,0.065,237,52,0,normal
13.14,1385,1801,0,0,0,4,0,1,0,48,27,0.046,0.046,0.97,0.026,249,128,0,normal
0.21,1499,1612,0,0,0,1,0,1,0,5,8,0.036,0.032,0.808,0.044,149,50,0,normal
2.4,1869,1380,0,0,0,1,0,1,0,34,18,0.006,0.007,0.929,0.005,189,206,0,normal
2.6,1554,1038,0,0,0,1,0,1,0,3,38,0.005,0.027,0.825,0.056,198,56,0,normal
7.78,2500,1036,0,0,0,1,0,1,0,29,10,0.006,0.012,0.838,0.068,164,94,0,normal
0.03,234,106,0,0,0,2,0,0,0,408,13,0.285,0.965,0.104,0.987,60,4,1,probe
0.04,194,85,0,0,0,2,0,0,0,240,5,0.147,0.942,0.011,0.703,45,4,1,probe
2.34,2319,1394,0,0,0,1,0,1,0,28,44,0.002,0.023,0.892,0.003,182,163,0,normal
2.28,1708,1074,0,0,0,3,0,1,0,15,39,0.042,0.011,0.891,0.01,134,182,0,normal
0.91,497,1317,0,0,0,1,0,1,0,43,8,0.006,0.023,0.931,0.052,100,182,0,normal
11.0,1473,1636,0,0,0,0,0,1,0,42,17,0.001,0.041,0.811,0.031,193,80,0,normal
1.82,1472,1315,0,0,0,0,0,1,0,40,21,0.037,0.005,0.855,0.077,239,145,0,normal
7.41,1245,752,0,0,0,1,0,1,0,28,35,0.035,0.005,0.828,0.035,175,130,0,normal
1.5,702,506,0,0,0,1,13,0,1,77,8,0.056,0.736,0.678,0.294,14,13,1,brute_force
2.29,1418,1071,0,0,0,1,0,1,0,18,2,0.027,0.028,0.976,0.097,169,160,0,normal
1.86,832,901,0,0,0,4,0,1,0,29,31,0.034,0.027,0.998,0.069,220,81,0,normal
2.5,1274,1309,0,0,0,2,0,1,0,43,39,0.048,0.008,0.898,0.015,196,144,0,normal
7.35,328,830,0,0,0,3,0,1,0,33,26,0.002,0.021,0.855,0.08,116,206,0,normal
3.9,1533,933,0,0,0,3,0,1,0,38,20,0.001,0.009,0.956,0.025,102,254,0,normal
1.04,1531,934,0,0,0,3,0,1,0,1,16,0.006,0.016,0.988,0.039,229,123,0,normal
4.53,1898,1453,0,0,0,2,0,1,0,45,2,0.001,0.009,0.87,0.007,143,212,0,normal
11.92,2321,1349,0,0,0,1,0,1,0,41,29,0.035,0.035,0.98,0.072,101,103,0,normal
15.79,902,1547,0,0,0,0,0,1,0,17,40,0.002,0.003,0.817,0.048,222,145,0,normal
1.88,656,1173,0,0,0,2,0,1,0,17,6,0.034,0.029,0.952,0.01,221,62,0,normal
0.34,1617,1337,0,0,0,3,0,1,0,40,47,0.021,0.042,0.992,0.049,105,120,0,normal
1.71,1481,805,0,0,0,3,0,1,0,7,40,0.022,0.027,0.925,0.0,121,209,0,normal
0.11,8864,0,1,2,0,1,0,0,0,368,230,0.995,0.042,0.977,0.044,1,4,1,dos
5.54,1507,1429,0,0,0,2,0,1,0,5,23,0.033,0.031,0.818,0.051,138,228,0,normal
0.29,808,1457,0,0,0,4,0,1,0,46,19,0.009,0.007,0.879,0.082,158,184,0,normal
0.29,1380,1343,0,0,0,0,0,1,0,24,1,0.006,0.022,0.908,0.075,211,204,0,normal
6.81,1589,1609,0,0,0,0,0,1,0,18,20,0.041,0.041,0.861,0.045,234,122,0,normal
0.68,1539,1060,0,0,0,4,0,1,0,46,39,0.001,0.015,0.837,0.017,203,75,0,normal
44.9,713,9905,0,0,0,27,0,1,2,26,10,0.047,0.078,0.506,0.058,11,17,1,r2l_exfiltration
0.35,2041,942,0,0,0,4,0,1,0,8,48,0.044,0.012,0.849,0.041,200,232,0,normal
0.33,8318,0,1,2,0,1,0,0,0,267,238,0.82,0.036,0.955,0.046,1,4,1,dos
1.27,1166,1585,0,0,0,0,0,1,0,45,33,0.007,0.05,0.992,0.016,111,196,0,normal
7.17,1666,1738,0,0,0,0,0,1,0,25,4,0.039,0.023,0.974,0.023,100,105,0,normal
1.12,1618,981,0,0,0,4,0,1,0,24,25,0.033,0.03,0.822,0.055,239,118,0,normal
0.4,1645,1083,0,0,0,1,0,1,0,37,5,0.016,0.044,0.851,0.046,158,90,0,normal
4.23,730,432,0,0,0,8,4,0,1,86,9,0.089,0.992,0.754,0.016,28,5,1,brute_force
1.54,1593,1059,0,0,0,1,0,1,0,25,10,0.012,0.049,0.938,0.095,113,85,0,normal
3.47,1806,1263,0,0,0,3,0,1,0,49,22,0.025,0.021,0.942,0.002,184,58,0,normal
5.74,2243,1415,0,0,0,3,0,1,0,27,27,0.032,0.018,0.988,0.097,180,125,0,normal
0.62,998,1297,0,0,0,1,0,1,0,14,27,0.027,0.041,0.908,0.083,132,184,0,normal
10.78,1737,1041,0,0,0,2,0,1,0,31,16,0.03,0.006,0.847,0.069,181,88,0,normal
8.5,1819,1317,0,0,0,1,0,1,0,17,24,0.021,0.032,0.997,0.024,207,211,0,normal
0.06,1864,1512,0,0,0,2,0,1,0,20,42,0.025,0.014,0.955,0.089,248,120,0,normal
0.05,171,96,0,0,0,1,0,0,0,311,2,0.253,0.697,0.035,0.986,93,21,1,probe
2.35,1518,943,0,0,0,1,0,1,0,21,18,0.017,0.017,0.994,0.047,127,254,0,normal
16.57,1772,1068,0,0,0,4,0,1,0,47,9,0.006,0.017,0.858,0.084,132,88,0,normal
9.01,1345,1017,0,0,0,0,0,1,0,25,26,0.005,0.022,0.938,0.09,126,112,0,normal
5.25,1316,1005,0,0,0,3,0,1,0,47,12,0.0,0.034,0.932,0.09,110,157,0,normal
0.93,443,396,0,0,0,6,12,0,3,68,6,0.124,0.885,0.638,0.257,31,13,1,brute_force
0.37,1177,1387,0,0,0,3,0,1,0,27,13,0.049,0.006,0.978,0.004,213,245,0,normal
9.29,1816,375,0,0,0,4,0,1,0,29,35,0.019,0.046,0.8,0.057,195,146,0,normal
14.3,1697,2382,0,1,0,4,0,1,0,46,2,0.039,0.035,0.914,0.072,113,192,0,normal
1.02,8578,0,0,0,0,1,0,0,0,465,229,0.874,0.096,0.951,0.041,1,4,1,dos
6.88,1277,679,0,0,0,3,0,1,0,19,36,0.049,0.0,0.899,0.033,247,247,0,normal
1.85,1680,1047,0,0,0,1,0,1,0,23,11,0.043,0.004,0.99,0.034,243,72,0,normal
4.23,1563,883,0,0,0,1,0,1,0,22,2,0.032,0.007,0.886,0.052,140,72,0,normal
2.7,1763,1237,0,1,0,2,0,1,0,31,46,0.022,0.048,0.939,0.001,202,210,0,normal
1.69,1313,1047,0,0,0,3,0,1,0,39,22,0.05,0.029,0.856,0.072,250,211,0,normal
14.11,2408,1333,0,0,0,0,0,1,0,28,26,0.03,0.012,0.868,0.015,170,241,0,normal
12.23,1443,1490,0,0,0,4,0,1,0,19,35,0.023,0.021,0.845,0.057,109,237,0,normal
17.77,1478,1553,0,0,0,4,0,1,0,41,49,0.001,0.011,0.821,0.023,250,181,0,normal
2.57,1723,1283,0,0,0,1,0,1,0,38,12,0.034,0.008,0.841,0.057,211,74,0,normal
49.57,469,15876,0,0,0,7,0,1,9,16,6,0.06,0.067,0.64,0.015,8,5,1,r2l_exfiltration
7.57,648,1119,0,0,0,3,0,1,0,30,9,0.024,0.042,0.966,0.073,157,193,0,normal
1.47,1636,1489,0,0,0,2,0,1,0,12,10,0.001,0.016,0.819,0.035,129,63,0,normal
1.02,264,281,0,0,0,2,7,0,3,99,5,0.169,0.827,0.51,0.289,36,9,1,brute_force
6.08,1743,1060,0,0,0,0,0,1,0,32,43,0.005,0.04,0.913,0.029,175,120,0,normal
60.74,1326,11500,0,0,0,24,0,1,6,16,10,0.095,0.009,0.793,0.162,7,18,1,r2l_exfiltration
2.21,1749,884,0,0,0,1,0,1,0,39,1,0.001,0.018,0.989,0.064,225,191,0,normal
4.97,1472,1145,0,0,0,2,0,1,0,10,42,0.013,0.04,0.996,0.041,225,163,0,normal
0.03,228,134,0,0,0,0,0,0,0,339,5,0.227,0.63,0.191,0.822,26,14,1,probe
0.05,1555,1340,0,0,0,1,0,1,0,45,5,0.027,0.009,0.992,0.015,237,111,0,normal
3.65,1837,1904,0,0,0,1,0,1,0,49,7,0.04,0.006,0.862,0.089,249,167,0,normal
10.23,1148,1684,0,0,0,3,0,1,0,6,43,0.009,0.007,0.815,0.057,240,254,0,normal
4.44,1509,843,0,0,0,3,0,1,0,33,30,0.038,0.005,0.961,0.041,177,164,0,normal
0.29,6004,0,1,0,0,1,0,0,0,381,448,0.984,0.037,0.983,0.03,3,3,1,dos
0.08,143,107,0,0,0,2,0,0,0,483,11,0.251,0.448,0.006,0.972,195,12,1,probe
3.35,1684,668,0,0,0,0,0,1,0,3,26,0.006,0.0,0.914,0.051,213,85,0,normal
1.7,1883,1346,0,0,0,0,0,1,0,29,5,0.035,0.021,0.97,0.025,247,183,0,normal
0.74,1440,591,0,0,0,3,0,1,0,24,8,0.008,0.033,0.808,0.097,228,93,0,normal
13.53,1560,1312,0,0,0,0,0,1,0,27,14,0.048,0.025,0.949,0.078,213,239,0,normal
2.25,719,1333,0,0,0,3,0,1,0,23,12,0.013,0.035,0.81,0.029,193,77,0,normal
54.01,948,13550,0,0,0,23,0,1,1,18,5,0.067,0.094,0.753,0.05,28,18,1,r2l_exfiltration
9.31,1489,963,0,0,0,3,0,1,0,18,31,0.019,0.022,0.863,0.043,223,239,0,normal
0.07,244,114,0,0,0,1,0,0,0,436,7,0.088,0.559,0.137,0.873,122,15,1,probe
4.79,1546,1035,0,0,0,0,1,1,0,1,19,0.043,0.004,0.881,0.089,139,68,0,normal
2.43,2247,900,0,0,0,1,0,1,0,20,27,0.048,0.049,0.841,0.08,137,253,0,normal
3.3,2674,1055,0,0,0,2,0,1,0,14,22,0.026,0.032,0.868,0.018,178,247,0,normal
2.63,1333,1242,0,0,0,1,0,1,0,2,46,0.013,0.036,0.903,0.042,225,113,0,normal
5.11,1423,764,0,0,0,2,0,1,0,19,38,0.046,0.045,0.928,0.018,226,209,0,normal
13.58,2228,854,0,0,0,3,0,1,0,36,1,0.045,0.034,0.984,0.083,102,105,0,normal
1.84,1124,1085,0,0,0,1,0,1,0,43,46,0.01,0.036,0.907,0.009,151,128,0,normal
0.42,465,357,0,0,0,8,14,0,0,42,5,0.155,0.639,0.554,0.11,29,10,1,brute_force
57.74,1310,5753,0,0,0,12,0,1,8,3,7,0.06,0.038,0.736,0.09,16,17,1,r2l_exfiltration
7.49,1562,1131,0,0,0,2,0,1,0,32,16,0.028,0.025,0.962,0.009,146,253,0,normal
4.6,1344,1864,0,0,0,3,0,1,0,10,4,0.004,0.027,0.838,0.03,200,110,0,normal
0.82,1354,965,0,0,0,0,0,1,0,11,7,0.013,0.048,0.962,0.016,108,165,0,normal
1.45,1834,930,0,0,0,3,0,1,0,32,32,0.047,0.033,0.806,0.02,253,235,0,normal
4.01,1152,649,0,0,0,3,0,1,0,29,3,0.026,0.036,0.992,0.064,240,58,0,normal
1.68,1586,1040,0,0,0,4,0,1,0,20,36,0.006,0.029,0.815,0.015,141,211,0,normal
7.88,1608,1413,0,0,0,3,0,1,0,18,37,0.036,0.046,0.875,0.022,117,240,0,normal
3.86,923,857,0,0,0,2,0,1,0,11,15,0.029,0.022,0.801,0.043,190,209,0,normal
5.45,1644,1927,0,0,0,3,0,1,0,17,7,0.039,0.0,0.989,0.037,174,252,0,normal
2.33,1316,1253,0,0,0,1,0,1,0,20,22,0.032,0.004,0.85,0.014,190,135,0,normal
1.37,1499,859,0,0,0,4,0,1,0,40,23,0.047,0.012,0.932,0.023,225,206,0,normal
0.96,1428,1143,0,0,0,0,0,1,0,6,22,0.046,0.045,0.951,0.03,150,207,0,normal
13.99,1397,1418,0,0,0,3,0,1,0,29,4,0.016,0.045,0.963,0.009,133,145,0,normal
5.9,1152,515,0,0,0,4,0,1,0,41,10,0.02,0.004,0.985,0.079,109,122,0,normal
5.6,1954,1731,0,0,0,0,0,1,0,10,41,0.032,0.025,0.808,0.021,196,213,0,normal
5.31,1585,1337,0,0,0,4,0,1,0,19,20,0.017,0.048,0.983,0.062,252,231,0,normal
1.32,1256,1134,0,0,0,1,0,1,0,39,11,0.031,0.021,0.975,0.094,101,99,0,normal
1.02,1405,659,0,0,0,4,0,1,0,47,40,0.03,0.046,0.957,0.066,145,94,0,normal
5.66,947,1000,0,0,0,2,0,1,0,20,47,0.016,0.046,0.961,0.055,178,251,0,normal
3.66,1309,1560,0,0,0,0,0,1,0,18,6,0.026,0.039,0.958,0.016,106,178,0,normal
0.22,1738,1575,0,0,0,4,0,1,0,24,13,0.02,0.039,0.876,0.064,115,193,0,normal
1.14,1315,832,0,0,0,1,0,1,0,30,5,0.026,0.017,0.959,0.023,244,233,0,normal
0.04,6598,0,0,0,1,0,0,0,0,394,255,0.843,0.084,0.997,0.033,9,6,1,dos
9.94,1281,902,0,0,0,3,0,1,0,41,25,0.028,0.035,0.876,0.03,169,132,0,normal
7.94,989,1179,0,0,0,4,0,1,0,16,49,0.037,0.01,0.842,0.058,135,170,0,normal
6.61,1741,1418,0,0,0,4,0,1,0,18,40,0.044,0.038,0.913,0.064,189,84,0,normal
0.37,455,387,0,0,0,4,17,0,2,85,7,0.156,0.623,0.714,0.277,6,9,1,brute_force
3.54,1543,910,0,0,0,0,0,1,0,27,11,0.026,0.027,0.974,0.06,239,244,0,normal
2.03,1527,1025,0,0,0,4,0,1,0,2,23,0.003,0.038,0.906,0.053,213,71,0,normal
0.16,1974,995,0,0,0,1,0,1,0,29,40,0.015,0.017,0.874,0.001,121,147,0,normal
3.69,1513,1440,0,0,0,4,0,1,0,26,8,0.006,0.045,0.996,0.041,115,200,0,normal
1.88,1082,398,0,0,0,4,0,1,0,6,14,0.012,0.033,0.899,0.022,114,205,0,normal
5.66,2248,909,0,0,0,0,0,1,0,32,41,0.02,0.048,0.825,0.012,127,107,0,normal
3.48,1282,1796,0,0,0,1,0,1,0,30,31,0.001,0.008,0.961,0.079,164,77,0,normal
8.38,2010,1118,0,0,0,0,0,1,0,21,46,0.008,0.021,0.858,0.046,215,87,0,normal
0.05,1831,1094,0,0,0,1,0,1,0,32,43,0.002,0.039,0.959,0.006,157,194,0,normal
1.49,1375,1073,0,0,0,4,0,1,0,36,42,0.042,0.04,0.931,0.006,230,99,0,normal
0.16,914,1495,0,0,0,0,0,1,0,2,17,0.009,0.024,0.993,0.056,142,175,0,normal
0.53,1541,861,0,0,0,3,0,1,0,40,21,0.03,0.006,0.832,0.098,104,164,0,normal
0.03,807,421,0,0,0,4,10,0,2,76,3,0.066,0.969,0.824,0.025,30,11,1,brute_force
0.11,979,1640,0,0,0,0,0,1,0,23,18,0.048,0.009,0.894,0.014,179,245,0,normal
1.25,1593,1240,0,0,0,3,0,1,0,38,2,0.025,0.028,0.897,0.048,122,215,0,normal
3.01,1280,1076,0,0,0,3,0,1,0,13,12,0.029,0.021,0.886,0.088,201,216,0,normal
18.93,949,1117,0,0,0,2,0,1,0,26,41,0.031,0.002,0.85,0.011,223,144,0,normal
1.25,2336,1137,0,0,0,0,0,1,0,11,39,0.032,0.039,0.959,0.029,217,120,0,normal
0.09,145,137,0,0,0,0,0,0,0,219,13,0.209,0.521,0.114,0.706,130,6,1,probe
3.79,1038,1959,0,0,0,2,0,1,0,29,18,0.048,0.015,0.955,0.041,187,61,0,normal
0.17,1361,760,0,0,0,4,0,1,0,33,28,0.021,0.036,0.911,0.07,250,213,0,normal
1.38,1155,1017,0,0,0,0,0,1,0,30,28,0.027,0.002,0.807,0.028,222,54,0,normal
0.06,281,88,0,0,0,0,0,0,0,115,4,0.057,0.709,0.054,0.787,38,16,1,probe
0.34,1252,1615,0,0,0,1,0,1,0,29,22,0.004,0.036,0.973,0.016,126,168,0,normal
0.59,1567,847,0,0,0,0,0,1,0,40,8,0.013,0.002,0.852,0.079,231,84,0,normal
0.34,892,728,0,0,0,4,0,1,0,39,34,0.018,0.041,0.921,0.01,252,67,0,normal
4.83,882,423,0,0,0,2,0,1,0,43,21,0.046,0.044,0.916,0.022,172,229,0,normal
2.78,1255,786,0,0,0,0,0,1,0,43,44,0.021,0.017,0.914,0.052,123,53,0,normal
1.56,1921,1073,0,0,0,1,0,1,0,8,31,0.049,0.035,0.811,0.062,213,220,0,normal
2.3,1951,862,0,0,0,2,0,1,0,18,2,0.006,0.006,0.938,0.012,117,88,0,normal
2.95,1309,837,0,0,0,3,0,1,0,28,46,0.034,0.037,0.845,0.055,213,220,0,normal
0.94,926,1279,0,0,0,3,0,1,0,29,4,0.018,0.031,0.836,0.038,125,71,0,normal
0.81,1276,1330,0,0,0,2,0,1,0,37,47,0.022,0.003,0.821,0.056,216,196,0,normal
0.13,7847,0,1,1,0,0,0,0,0,249,446,0.896,0.069,0.952,0.019,2,2,1,dos
5.28,1428,1261,0,0,0,4,0,1,0,22,40,0.039,0.02,0.982,0.055,104,171,0,normal
66.78,1107,6440,0,0,0,27,0,1,5,28,6,0.069,0.061,0.669,0.191,27,14,1,r2l_exfiltration
14.87,1784,1211,0,0,0,0,0,1,0,25,33,0.009,0.011,0.996,0.024,191,152,0,normal
19.7,1859,1477,0,0,0,0,0,1,0,25,28,0.05,0.02,0.996,0.043,155,129,0,normal
5.98,2225,1464,0,0,0,3,0,1,0,31,49,0.005,0.008,0.845,0.008,132,109,0,normal
8.75,861,495,0,0,0,2,0,1,0,35,16,0.036,0.038,0.854,0.085,174,118,0,normal
3.7,1733,1570,0,0,0,4,0,1,0,34,24,0.003,0.029,0.928,0.023,195,207,0,normal
0.75,726,284,0,0,0,2,4,0,1,83,2,0.04,0.513,0.83,0.029,38,18,1,brute_force
9.04,907,1310,0,0,0,4,0,1,0,5,18,0.004,0.022,0.928,0.027,112,218,0,normal
3.13,1061,1605,0,0,0,3,0,1,0,38,47,0.005,0.041,0.817,0.079,101,221,0,normal
4.8,1674,1139,0,0,0,3,0,1,0,27,35,0.028,0.048,0.85,0.087,211,245,0,normal
2.59,1102,1287,0,0,0,3,0,1,0,29,27,0.027,0.006,0.815,0.039,191,61,0,normal
1.54,1260,1189,0,0,0,4,0,1,0,26,9,0.033,0.044,0.987,0.026,196,139,0,normal
1.22,2321,832,0,0,0,2,0,1,0,1,38,0.034,0.035,0.877,0.082,137,116,0,normal
2.71,1239,1454,0,0,0,3,0,1,0,25,46,0.028,0.026,0.84,0.069,156,128,0,normal
6.84,1668,1137,0,0,0,2,0,1,0,2,21,0.045,0.001,0.955,0.091,138,202,0,normal
5.37,1598,791,0,0,0,1,0,1,0,41,40,0.047,0.013,0.973,0.012,118,172,0,normal
2.81,500,1291,0,0,0,0,0,1,0,47,7,0.026,0.022,0.931,0.027,115,73,0,normal
0.81,650,431,0,0,0,0,11,0,1,49,9,0.032,0.809,0.819,0.051,45,9,1,brute_force
7.92,1844,1353,0,0,0,4,0,1,0,28,16,0.027,0.032,0.912,0.012,186,199,0,normal
9.27,1554,1287,0,0,0,1,0,1,0,9,32,0.049,0.03,0.95,0.098,124,58,0,normal
3.66,1837,1834,0,0,0,3,0,1,0,22,36,0.011,0.015,0.817,0.066,124,205,0,normal
2.77,926,1085,0,0,0,0,0,1,0,13,42,0.044,0.047,0.908,0.069,206,114,0,normal
12.47,2003,948,0,0,0,4,0,1,0,9,7,0.001,0.001,0.939,0.076,214,197,0,normal
73.1,766,10487,0,0,0,18,0,1,2,13,2,0.09,0.012,0.546,0.142,7,7,1,r2l_exfiltration
3.23,2219,868,0,0,0,1,0,1,0,27,45,0.007,0.024,0.881,0.032,197,177,0,normal
3.8,1335,922,0,0,0,2,0,1,0,7,3,0.019,0.043,0.928,0.062,250,217,0,normal
0.14,8380,0,0,0,0,1,0,0,0,214,212,0.841,0.014,0.969,0.008,8,8,1,dos
0.31,9360,0,0,0,0,0,0,0,0,277,390,0.992,0.057,0.96,0.011,8,3,1,dos
0.87,1921,728,0,0,0,3,0,1,0,2,2,0.039,0.037,0.937,0.059,160,232,0,normal
4.61,2456,1044,0,0,0,2,0,1,0,33,22,0.006,0.029,0.997,0.008,141,242,0,normal
5.92,1294,1687,0,0,0,4,0,1,0,20,3,0.047,0.01,0.862,0.072,183,51,0,normal
0.65,1411,1342,0,0,0,0,0,1,0,27,18,0.029,0.035,0.871,0.012,132,118,0,normal
3.09,1734,1695,0,0,0,3,0,1,0,14,4,0.037,0.04,0.888,0.064,216,192,0,normal
0.3,502,371,0,0,0,2,7,0,1,43,8,0.109,0.694,0.966,0.038,49,9,1,brute_force
0.79,726,440,0,0,0,2,17,0,0,90,5,0.039,0.948,0.676,0.273,45,17,1,brute_force
1.13,8247,0,1,3,0,0,0,0,0,241,230,0.878,0.024,0.906,0.024,6,8,1,dos
1.53,1802,1250,0,0,0,2,0,1,0,21,47,0.014,0.024,0.89,0.026,254,198,0,normal
0.03,1551,930,0,0,0,4,0,1,0,43,12,0.043,0.006,0.819,0.045,188,145,0,normal
4.59,1361,977,0,0,0,4,0,1,0,17,47,0.029,0.011,0.841,0.011,179,114,0,normal
5.38,1882,1894,0,0,0,1,0,1,0,37,24,0.004,0.01,0.86,0.046,161,164,0,normal
0.8,1479,1472,0,0,0,3,0,1,0,34,43,0.035,0.044,0.824,0.018,121,226,0,normal
2.13,1719,1586,0,0,0,4,0,1,0,15,14,0.018,0.02,0.884,0.007,140,175,0,normal
2.91,1528,1431,0,0,0,3,0,1,0,35,34,0.032,0.014,0.916,0.028,175,197,0,normal
3.1,1685,1267,0,0,0,1,0,1,0,20,48,0.011,0.031,0.956,0.092,201,135,0,normal
